COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
EST,,ALL,2015,17402.04
EST,,ALL,2016,18295.34
EST,,ALL,2017,20437.77
EST,,ALL,2018,23063.56
EST,,ALL,2019,23397.88
EST,,ALL,2020,23054.36
EST,,ALL,2021,27280.66
,EU_AFTER_MAY2004,ALL,1990,2561.13
,EU_AFTER_MAY2004,ALL,1991,2477.21
,EU_AFTER_MAY2004,ALL,1992,2628.93
,EU_AFTER_MAY2004,ALL,1993,2729.15
,EU_AFTER_MAY2004,ALL,1994,3016.93
,EU_AFTER_MAY2004,ALL,1995,3671.64
,EU_AFTER_MAY2004,ALL,1996,3884.28
,EU_AFTER_MAY2004,ALL,1997,3833.04
,EU_AFTER_MAY2004,ALL,1998,4197.39
,EU_AFTER_MAY2004,ALL,1999,4082.52
,EU_AFTER_MAY2004,ALL,2000,4038.42
,EU_AFTER_MAY2004,ALL,2001,4441.14
,EU_AFTER_MAY2004,ALL,2002,5035.87
,EU_AFTER_MAY2004,ALL,2003,6068.56
,EU_AFTER_MAY2004,ALL,2004,7314.4
,EU_AFTER_MAY2004,ALL,2005,8496.27
,EU_AFTER_MAY2004,ALL,2006,9617.32
,EU_AFTER_MAY2004,ALL,2007,12163.73
,EU_AFTER_MAY2004,ALL,2008,14743.84
,EU_AFTER_MAY2004,ALL,2009,12462.94
,EU_AFTER_MAY2004,ALL,2010,12752.3
,EU_AFTER_MAY2004,ALL,2011,14038.34
,EU_AFTER_MAY2004,ALL,2012,13133.62
,EU_AFTER_MAY2004,ALL,2013,13781.67
,EU_AFTER_MAY2004,ALL,2014,14332.78
,EU_AFTER_MAY2004,ALL,2015,12672.08
,EU_AFTER_MAY2004,ALL,2016,12986.14
,EU_AFTER_MAY2004,ALL,2017,14330.09
,EU_AFTER_MAY2004,ALL,2018,16122.23
,EU_AFTER_MAY2004,ALL,2019,16413.13
,EU_AFTER_MAY2004,ALL,2020,16257.35
,EU_BEFORE_MAY2004,ALL,1970,2407.9
,EU_BEFORE_MAY2004,ALL,1971,2709.96
,EU_BEFORE_MAY2004,ALL,1972,3224.75
,EU_BEFORE_MAY2004,ALL,1973,4073.26
,EU_BEFORE_MAY2004,ALL,1974,4556.46
,EU_BEFORE_MAY2004,ALL,1975,5285.03
,EU_BEFORE_MAY2004,ALL,1976,5453.58
,EU_BEFORE_MAY2004,ALL,1977,6158.3
,EU_BEFORE_MAY2004,ALL,1978,7522.62
,EU_BEFORE_MAY2004,ALL,1979,9155.35
,EU_BEFORE_MAY2004,ALL,1980,10405.82
,EU_BEFORE_MAY2004,ALL,1981,9172.37
,EU_BEFORE_MAY2004,ALL,1982,8813.95
,EU_BEFORE_MAY2004,ALL,1983,8538.22
