COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
KAZ,,ALL,1998,198.48
KAZ,,ALL,1999,155.46
KAZ,,ALL,2000,162.25
KAZ,,ALL,2001,174.87
KAZ,,ALL,2002,190.84
KAZ,,ALL,2003,219.81
KAZ,,ALL,2004,279.12
KAZ,,ALL,2005,343.76
KAZ,,ALL,2006,355.18
KAZ,,ALL,2007,304.29
KAZ,,ALL,2008,402.35
KAZ,,ALL,2009,475.27
KAZ,,ALL,2010,485.67
KAZ,,ALL,2011,471.91
KAZ,,ALL,2012,526.26
KAZ,,ALL,2013,506.29
KAZ,,ALL,2014,580.6
KGZ,,ALL,1995,37.57
KGZ,,ALL,1996,33.26
KGZ,,ALL,1997,37.2
KGZ,,ALL,1998,37.38
KGZ,,ALL,1999,34.37
KGZ,,ALL,2000,33.66
KGZ,,ALL,2001,34.18
KGZ,,ALL,2002,37.65
KGZ,,ALL,2003,39.16
KGZ,,ALL,2004,47.38
KGZ,,ALL,2005,50.7
KGZ,,ALL,2006,73.44
KGZ,,ALL,2007,87.1
KGZ,,ALL,2008,84.15
KGZ,,ALL,2009,104.01
KGZ,,ALL,2010,101.12
KGZ,,ALL,2011,107.33
KGZ,,ALL,2012,121.73
KGZ,,ALL,2013,124.52
KGZ,,ALL,2014,120.72
LTU,,ALL,1995,246.3
LTU,,ALL,1996,261.2
LTU,,ALL,1997,303.42
LTU,,ALL,1998,368.41
LTU,,ALL,1999,371.19
LTU,,ALL,2000,389.13
LTU,,ALL,2001,436.49
LTU,,ALL,2002,511.34
LTU,,ALL,2003,600.21
LTU,,ALL,2004,504.66
LTU,,ALL,2005,573.94
LTU,,ALL,2006,717.82
LTU,,ALL,2007,861.09
LTU,,ALL,2008,982.15
LTU,,ALL,2009,989.96
LTU,,ALL,2010,982.57
LTU,,ALL,2011,1059.07
LTU,,ALL,2012,1033.24
LTU,,ALL,2013,1091.6
LTU,,ALL,2014,1166.01
LUX,,ALL,1995,2023.3
LUX,,ALL,1996,2127.64
LUX,,ALL,1997,2130
LUX,,ALL,1998,2278.69
LUX,,ALL,1999,2588.32
LUX,,ALL,2000,3440.41
LUX,,ALL,2001,3383.05
